# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data
# are obtained for potential use in a publication or presentation,
# GML should be informed at the outset of the nature of this work.
# If the GML data are essential to the work, or if an important
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Wed Apr  5 03:55:19 2023
#
# RECIPROCITY
#
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, modeled mole fractions, and additional information
# necessary for other scientists to repeat the work and to run
# modified versions. Model availability includes collaborative
# support for new users of the models.
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
# Data from March 1958 through April 1974 have been obtained by C. David Keeling
# of the Scripps Institution of Oceanography (SIO) and were obtained from the
# Scripps website (scrippsco2.ucsd.edu).
# Monthly mean CO2 constructed from daily mean values.
# Scripps data downloaded from http://scrippsco2.ucsd.edu/data/atmospheric_co2
# Monthly values are corrected to center of month based on average seasonal
# cycle. Missing days can be asymmetric which would produce a high or low bias.
# Missing months have been interpolated, for NOAA data indicated by negative stdev
# and uncertainty. We have no information for SIO data about Ndays, stdv, unc
# so that they are also indicated by negative numbers
#
# NOTE: Due to the eruption of the Mauna Loa Volcano, measurements from Mauna Loa Observatory
# were suspended as of Nov. 29, 2022. Observations starting in December 2022 are from a site
# at the Maunakea Observatories, approximately 21 miles north of the Mauna Loa Observatory.
#
year,month,decimal date,average,deseasonalized,ndays,sdev,unc
2014,9,2014.7083,395.54,399.11,21,0.54,0.23
2014,10,2014.7917,396.16,399.58,24,0.73,0.29
2014,11,2014.8750,397.40,399.49,27,0.37,0.14
2014,12,2014.9583,399.08,399.81,29,0.60,0.21
2015,1,2015.0417,400.18,399.92,30,0.55,0.19
2015,2,2015.1250,400.55,399.77,28,0.63,0.23
2015,3,2015.2083,401.74,400.22,24,1.02,0.40
2015,4,2015.2917,403.34,400.46,26,0.86,0.32
2015,5,2015.3750,404.15,400.70,30,0.32,0.11
2015,6,2015.4583,402.97,400.65,29,0.47,0.17
2015,7,2015.5417,401.46,401.11,24,0.57,0.22
2015,8,2015.6250,399.11,401.04,28,0.74,0.27
2015,9,2015.7083,397.82,401.43,25,0.32,0.12
2015,10,2015.7917,398.49,401.89,28,0.56,0.20
2015,11,2015.8750,400.27,402.24,25,0.58,0.22
2015,12,2015.9583,402.06,402.72,30,0.67,0.23
2016,1,2016.0417,402.73,402.45,27,0.56,0.21
2016,2,2016.1250,404.25,403.40,25,1.11,0.43
2016,3,2016.2083,405.06,403.54,28,0.81,0.29
2016,4,2016.2917,407.60,404.77,23,1.04,0.41
2016,5,2016.3750,407.90,404.41,29,0.50,0.18
2016,6,2016.4583,406.99,404.59,26,0.60,0.23
2016,7,2016.5417,404.59,404.24,28,0.88,0.32
2016,8,2016.6250,402.45,404.41,24,0.60,0.23
2016,9,2016.7083,401.23,404.85,25,0.44,0.17
2016,10,2016.7917,401.79,405.23,29,0.30,0.11
2016,11,2016.8750,403.72,405.74,27,0.72,0.26
2016,12,2016.9583,404.64,405.33,29,0.44,0.16
2017,1,2017.0417,406.36,406.04,27,0.68,0.25
2017,2,2017.1250,406.66,405.81,26,0.71,0.27
2017,3,2017.2083,407.54,406.05,24,1.03,0.40
2017,4,2017.2917,409.22,406.37,26,0.86,0.32
2017,5,2017.3750,409.89,406.37,27,0.57,0.21
2017,6,2017.4583,409.08,406.68,26,0.54,0.20
2017,7,2017.5417,407.33,407.01,28,0.61,0.22
2017,8,2017.6250,405.32,407.31,29,0.32,0.12
2017,9,2017.7083,403.57,407.17,26,0.37,0.14
2017,10,2017.7917,403.82,407.23,27,0.30,0.11
2017,11,2017.8750,405.31,407.36,26,0.41,0.15
2017,12,2017.9583,407.00,407.71,31,0.57,0.20
2018,1,2018.0417,408.15,407.82,29,0.55,0.19
2018,2,2018.1250,408.52,407.61,28,0.52,0.19
2018,3,2018.2083,409.59,408.06,29,0.65,0.23
2018,4,2018.2917,410.45,407.65,21,0.90,0.38
2018,5,2018.3750,411.44,407.98,24,0.86,0.33
2018,6,2018.4583,410.99,408.60,29,0.61,0.22
2018,7,2018.5417,408.90,408.59,27,0.46,0.17
2018,8,2018.6250,407.16,409.17,31,0.28,0.10
2018,9,2018.7083,405.71,409.31,29,0.45,0.16
2018,10,2018.7917,406.19,409.56,30,0.32,0.11
2018,11,2018.8750,408.21,410.24,24,0.56,0.22
2018,12,2018.9583,409.27,409.99,30,0.50,0.17
2019,1,2019.0417,411.03,410.69,26,1.26,0.47
2019,2,2019.1250,411.96,410.96,27,1.14,0.42
2019,3,2019.2083,412.18,410.71,28,1.12,0.40
2019,4,2019.2917,413.54,410.92,27,0.60,0.22
2019,5,2019.3750,414.86,411.47,28,0.50,0.18
2019,6,2019.4583,414.16,411.75,27,0.36,0.13
2019,7,2019.5417,411.97,411.65,25,0.82,0.31
2019,8,2019.6250,410.18,412.10,29,0.33,0.12
2019,9,2019.7083,408.76,412.26,30,0.38,0.13
2019,10,2019.7917,408.75,412.10,29,0.31,0.11
2019,11,2019.8750,410.48,412.52,26,0.40,0.15
2019,12,2019.9583,411.98,412.74,31,0.40,0.14
2020,1,2020.0417,413.61,413.25,29,0.73,0.26
2020,2,2020.1250,414.34,413.38,28,0.69,0.25
2020,3,2020.2083,414.74,413.28,26,0.33,0.12
2020,4,2020.2917,416.45,413.79,28,0.66,0.24
2020,5,2020.3750,417.31,413.90,27,0.61,0.23
2020,6,2020.4583,416.60,414.22,27,0.44,0.16
2020,7,2020.5417,414.62,414.30,30,0.55,0.19
2020,8,2020.6250,412.78,414.73,25,0.25,0.10
2020,9,2020.7083,411.52,415.06,29,0.31,0.11
2020,10,2020.7917,411.51,414.85,30,0.22,0.08
2020,11,2020.8750,413.12,415.11,27,0.81,0.30
2020,12,2020.9583,414.26,414.96,30,0.47,0.17
